sample_wgts	HHID_79	AvgHourlyWages_90to93	LogWage	yearborn	black	AFQT_Adj1
674417	7	852	6.747587	64	0	35
637257	9	1053.897	6.96025	63	0	51
741859	15	1162.377	7.058223	64	0	69
129483	40	2062.702	7.631772	62	0	54
564561	42	1302.418	7.171978	63	0	16
576974	66	3095.639	8.037749	64	0	18
576974	69	1641	7.403061	64	0	78
545183	70	2924.029	7.980718	63	0	99
544924	73	1538	7.338238	63	0	71
576700	74	1139.47	7.038319	64	0	31
544924	80	584.308	6.370428	63	0	70
576700	80	832.8892	6.724901	64	0	21
160046	85	569.6991	6.345109	63	1	3
477050	93	777.103	6.655573	64	0	18
437063	107	1302.382	7.17195	62	0	58
469582	120	2434.911	7.797666	62	0	97
469582	123	1281.302	7.155632	62	0	89
505963	134	1294.895	7.166184	64	0	29
478084	137	1121.178	7.022136	63	0	64
419404	145	626.8602	6.440723	62	0	52
505963	145	558	6.324359	64	0	84
478084	148	1287.619	7.16055	63	0	65
450765	155	1359.983	7.215228	63	0	35
395438	162	2096.536	7.648042	62	0	77
395438	165	1272.895	7.149049	62	0	57
514782	171	1564.062	7.355042	62	0	80
415287	173	1142.07	7.040597	62	0	56
482208	183	987.3235	6.894998	64	0	48
482208	186	1415.173	7.255007	64	0	42
455638	190	1454.52	7.282431	63	0	73
482208	193	1698.932	7.437755	64	0	53
535787	196	1988.087	7.594928	64	0	91
506265	198	1346.02	7.204907	63	0	63
562367	206	1186.744	7.078969	62	0	14
435094	210	1676.032	7.424184	62	0	53
435094	212	2295.568	7.738736	62	0	99
524891	212	1277.38	7.152566	64	0	54
209245	221	1043.387	6.950228	62	1	3
545354	230	857.4945	6.754015	64	0	29
545354	231	889.3478	6.790488	64	0	19
515304	235	1747.706	7.466059	63	0	62
577077	245	1572.612	7.360493	64	0	80
613523	253	596.8705	6.3917	64	0	22
516651	256	713.0587	6.569564	64	0	40
488183	260	1260.076	7.138927	63	0	70
428264	262	1105.332	7.007901	62	0	41
428264	270	1401.584	7.245358	62	0	72
448657	279	1480.927	7.300424	62	0	51
540282	295	1110.584	7.012641	63	0	23
540282	296	1491.441	7.307498	63	0	15
657557	309	1658.107	7.413432	64	0	15
621325	312	1272.676	7.148877	63	0	27
657557	315	3862.26	8.259007	64	0	4
657557	316	1012.351	6.920031	64	0	12
548228	318	918.252	6.822472	63	0	13
504423	323	1268.71	7.145756	62	0	7
414217	341	2222.243	7.706273	63	0	96
383564	346	1480.656	7.300241	62	0	37
383564	348	1366.307	7.219866	62	0	46
530660	353	1511.304	7.320728	64	0	42
439876	356	1741.187	7.462322	62	0	43
459999	364	2600.839	7.863589	63	0	56
188321	382	2027.894	7.614753	62	1	27
189528	385	528.4313	6.269913	63	1	1
430952	392	1558.533	7.351501	62	0	80
136819	396	763.3579	6.637727	63	1	12
453666	404	1071.445	6.976763	63	0	33
411691	411	685.6155	6.530317	62	0	17
496658	411	759.0627	6.632084	64	0	56
411691	415	1361.074	7.216029	62	0	12
567082	419	802.2551	6.687427	63	0	51
510018	434	1443.116	7.27456	63	0	49
499015	444	841.3262	6.73498	64	0	77
413645	447	1083.263	6.987733	62	0	18
499015	449	1122.647	7.023444	64	0	19
126518	470	888.4429	6.78947	62	0	6
551636	477	813.838	6.701761	63	0	17
551636	479	897.5211	6.799636	63	0	56
493873	485	1521.764	7.327626	63	0	35
493873	487	430	6.063785	63	0	48
553418	490	1765.455	7.476164	64	0	65
511511	510	1425.431	7.26223	63	0	85
163211	516	900.8339	6.803321	62	1	8
164258	516	573.1756	6.351192	63	1	7
164258	520	1036.481	6.943587	63	1	16
579903	533	1105.946	7.008456	63	0	4
613719	535	1257.822	7.137137	64	0	23
579903	536	610.2443	6.413859	63	0	4
508726	539	867.1685	6.765233	62	0	13
508726	539	1111	7.013016	62	0	16
508726	561	950.7922	6.857296	62	0	62
660927	569	874.9376	6.774153	64	0	97
660927	571	970.5424	6.877855	64	0	58
162453	594	1085.861	6.990128	63	1	39
161418	596	1657.424	7.41302	62	1	61
551250	605	1545.729	7.343251	63	0	51
583395	605	1412.857	7.253369	64	0	53
551250	607	1383.336	7.232254	63	0	23
483589	613	1581.533	7.36615	62	0	28
480471	615	951.5883	6.858132	63	0	5
186567	623	898.3915	6.800606	63	1	17
182028	628	471.4405	6.155793	64	1	3
451873	629	730.3821	6.593568	63	0	7
478223	637	654.4911	6.483858	64	0	48
451873	638	1230.343	7.115048	63	0	49
493167	651	1732.352	7.457235	64	0	66
408798	663	1244.723	7.126668	62	0	68
493167	666	1011.176	6.91887	64	0	69
136961	671	1893.163	7.546004	62	1	74
137839	671	897.2324	6.799315	63	1	53
137839	673	710.1406	6.565463	63	1	1
182028	673	790.2996	6.672412	64	1	4
418768	684	490.7533	6.195941	62	0	45
477359	684	1663.728	7.416816	63	0	73
418768	690	979.6222	6.887167	62	0	72
418768	699	936.303	6.841939	62	0	25
422214	707	1599.119	7.377208	62	0	31
566045	713	697.7354	6.54784	64	0	18
469208	715	1465.251	7.289782	62	0	27
500090	724	1403.843	7.246969	63	0	96
529252	728	1080.098	6.984807	64	0	11
500090	735	728.7061	6.59127	63	0	18
507868	741	553.0886	6.315518	64	0	31
450367	750	1623.305	7.39222	62	0	20
513379	750	2090.975	7.645386	63	0	22
201772	758	1705.014	7.441329	62	1	28
444126	767	789.5063	6.671408	62	0	13
602742	776	3325.346	8.109329	62	0	75
