SMSA81,SCSA81,PlaceName81,MSAPMA99,MSACMA99,PMSA99,NECMA99,PlaceName99,MSAPMA99m,MSACMA99m,PMSA99m,NECMA99m,PlaceName_MSA
40,,"Abilene, TX SMSA",40,40,,,"Abilene, TX MSA",40,40,,,"Abilene, TX MSA"
,,,60,60,,,"Aguadilla, PR MSA",60,60,,,"Aguadilla, PR MSA"
80,28,"Akron, OH SMSA",80,1692,80,,"Akron, OH PMSA",80,1692,80,,"Akron, OH PMSA"
120,,"Albany, GA SMSA",120,120,,,"Albany, GA MSA",120,120,,,"Albany, GA MSA"
160,,"Albany-Schenectady-Troy, NY SMSA",160,160,,,"Albany-Schenectady-Troy, NY MSA",160,160,,,"Albany-Schenectady-Troy, NY MSA"
200,,"Albuquerque, NM SMSA",200,200,,,"Albuquerque, NM MSA",200,200,,,"Albuquerque, NM MSA"
220,,"Alexandria, LA SMSA",220,220,,,"Alexandria, LA MSA",220,220,,,"Alexandria, LA MSA"
240,,"Allentown-Bethlehem, PA-NJ SMSA",240,240,,,"Allentown-Bethlehem-Easton, PA MSA",240,240,,,"Allentown-Bethlehem-Easton, PA MSA"
280,,"Altoona, PA SMSA",280,280,,,"Altoona, PA MSA",280,280,,,"Altoona, PA MSA"
320,,"Amarillo, TX SMSA",320,320,,,"Amarillo, TX MSA",320,320,,,"Amarillo, TX MSA"
380,,"Anchorage, AK SMSA",380,380,,,"Anchorage, AK MSA",380,380,,,"Anchorage, AK MSA"
440,35,"Ann Arbor, MI SMSA",440,2162,440,,"Ann Arbor, MI PMSA",440,2162,440,,"Ann Arbor, MI PMSA"
450,,"Anniston, AL SMSA",450,450,,,"Anniston, AL MSA",450,450,,,"Anniston, AL MSA"
460,,"Appleton-Oshkosh, WI SMSA",460,460,,,"Appleton-Oshkosh-Neenah, WI MSA",460,460,,,"Appleton-Oshkosh-Neenah, WI MSA"
470,,"Arecibo, PR SMSA",470,7442,470,,"Arecibo, PR PMSA",470,7442,470,,"Arecibo, PR PMSA"
480,,"Asheville, NC SMSA",480,480,,,"Asheville, NC MSA",480,480,,,"Asheville, NC MSA"
500,,"Athens, GA SMSA",500,500,,,"Athens, GA MSA",500,500,,,"Athens, GA MSA"
520,,"Atlanta, GA SMSA",520,520,,,"Atlanta, GA MSA",520,520,,,"Atlanta, GA MSA"
560,,"Atlantic City, NJ SMSA",560,6162,560,,"Atlantic-Cape May, NJ PMSA",560,6162,560,,"Atlantic-Cape May, NJ PMSA"
,,,580,580,,,"Auburn-Opelika, AL MSA",580,580,,,"Auburn-Opelika, AL MSA"
600,,"Augusta, GA-SC SMSA",600,600,,,"Augusta-Aiken, GA-SC MSA",600,600,,,"Augusta-Aiken, GA-SC MSA"
640,,"Austin, TX SMSA",640,640,,,"Austin-San Marcos, TX MSA",640,640,,,"Austin-San Marcos, TX MSA"
680,,"Bakersfield, CA SMSA",680,680,,,"Bakersfield, CA MSA",680,680,,,"Bakersfield, CA MSA"
720,,"Baltimore, MD SMSA",720,8872,720,,"Baltimore, MD PMSA",720,8872,720,,"Baltimore, MD PMSA"
730,,"Bangor, ME SMSA",730,730,,,"Bangor, ME MSA",730,730,,733,"Bangor, ME NECMA"
,,,740,740,,,"Barnstable-Yarmouth, MA MSA",740,740,,743,"Barnstable-Yarmouth, MA NECMA"
760,,"Baton Rouge, LA SMSA",760,760,,,"Baton Rouge, LA MSA",760,760,,,"Baton Rouge, LA MSA"
840,,"Beaumont-Port Arthur-Orange, TX SMSA",840,840,,,"Beaumont-Port Arthur, TX MSA",840,840,,,"Beaumont-Port Arthur, TX MSA"
860,,"Bellingham, WA SMSA",860,860,,,"Bellingham, WA MSA",860,860,,,"Bellingham, WA MSA"
870,,"Benton Harbor, MI SMSA",870,870,,,"Benton Harbor, MI MSA",870,870,,,"Benton Harbor, MI MSA"
6040,70,"Paterson-Clifton-Passaic, NJ SMSA",875,5602,875,,"Bergen-Passaic, NJ PMSA",875,5602,875,,"Bergen-Passaic, NJ PMSA"
880,,"Billings, MT SMSA",880,880,,,"Billings, MT MSA",880,880,,,"Billings, MT MSA"
920,,"Biloxi-Gulfport, MS SMSA",920,920,,,"Biloxi-Gulfport-Pascagoula, MS MSA",920,920,,,"Biloxi-Gulfport-Pascagoula, MS MSA"
6025,,"Pascagoula-Moss Point, MS SMSA",,,,,,920,920,,,"Biloxi-Gulfport-Pascagoula, MS MSA"
960,,"Binghamton, NY-PA SMSA",960,960,,,"Binghamton, NY MSA",960,960,,,"Binghamton, NY MSA"
1000,,"Birmingham, AL SMSA",1000,1000,,,"Birmingham, AL MSA",1000,1000,,,"Birmingham, AL MSA"
1010,,"Bismarck, ND SMSA",1010,1010,,,"Bismarck, ND MSA",1010,1010,,,"Bismarck, ND MSA"
