sample_wgts	HHID_79	nonmissing	LogWage	yearborn	black	AFQTStd	EarlyIQStd
674417	7	0	6.747587	64	0	-.0334141	
637257	9	0	6.96025	63	0	.1354502	
741859	15	0	7.058223	64	0	.8477567	
129483	40	0	7.631772	62	0	.1515125	
564561	42	0	7.171978	63	0	-.8840766	
576974	66	0	8.037749	64	0	-.5634587	
576974	69	0	7.403061	64	0	1.124099	
545183	70	0	7.980718	63	0	2.436729	
544924	73	0	7.338238	63	0	.663766	
576700	74	0	7.038319	64	0	-.143944	
544924	80	0	6.370428	63	0	.6347818	
576700	80	0	6.724901	64	0	-.4545149	
160046	85	1	6.345109	63	1	-1.770412	-2.027969
477050	93	0	6.655573	64	0	-.5634587	
437063	107	0	7.17195	62	0	.2529722	
469582	120	0	7.797666	62	0	1.931872	
469582	123	0	7.155632	62	0	1.277607	
505963	134	0	7.166184	64	0	-.2014784	
478084	137	0	7.022136	63	0	.4688401	
419404	145	1	6.440723	62	0	.1012323	-.2444641
505963	145	0	6.324359	64	0	1.346364	
478084	148	0	7.16055	63	0	.4957018	
450765	155	0	7.215228	63	0	-.2749391	
395438	162	0	7.648042	62	0	.7899256	
395438	165	0	7.149049	62	0	.2274529	
514782	171	0	7.355042	62	0	.8927	
415287	173	0	7.040597	62	0	.202048	
482208	183	0	6.894998	64	0	.3017527	
482208	186	0	7.255007	64	0	.1500129	
455638	190	0	7.282431	63	0	.7231943	
482208	193	0	7.437755	64	0	.4271762	
535787	196	0	7.594928	64	0	1.692661	
506265	198	1	7.204907	63	0	.4422347	.1727685
562367	206	0	7.078969	62	0	-1.029241	
435094	210	0	7.424184	62	0	.1263486	
435094	212	0	7.738736	62	0	2.377427	
524891	212	0	7.152566	64	0	.4523401	
209245	221	0	6.950228	62	1	-1.829715	
545354	230	0	6.754015	64	0	-.2014784	
545354	231	0	6.790488	64	0	-.5259899	
515304	235	0	7.466059	63	0	.4158621	
577077	245	1	7.360493	64	0	1.193528	.5075011
613523	253	0	6.3917	64	0	-.4202869	
516651	256	0	6.569564	64	0	.0985592	
488183	260	0	7.138927	63	0	.6347818	
428264	262	0	7.007901	62	0	-.1764662	
428264	270	0	7.245358	62	0	.6339203	
448657	279	0	7.300424	62	0	.0761476	
540282	295	0	7.012641	63	0	-.6284655	
540282	296	0	7.307498	63	0	-.926052	
657557	309	0	7.413432	64	0	-.684527	
621325	312	0	7.148877	63	0	-.5024317	
657557	315	0	8.259007	64	0	-1.39878	
657557	316	0	6.920031	64	0	-.8230805	
548228	318	0	6.822472	63	0	-1.01601	
504423	323	0	7.145756	62	0	-1.424712	
414217	341	0	7.706273	63	0	1.861067	
383564	346	0	7.300241	62	0	-.2807746	
383564	348	0	7.219866	62	0	-.049355	
530660	353	0	7.320728	64	0	.1500129	
439876	356	0	7.462322	62	0	-.1252954	
459999	364	0	7.863589	63	0	.2613505	
188321	382	0	7.614753	62	1	-.5617343	
189528	385	0	6.269913	63	1	-2.215966	
430952	392	0	7.351501	62	0	.8927	
136819	396	0	6.637727	63	1	-1.064605	
453666	404	0	6.976763	63	0	-.3295318	
411691	411	0	6.530317	62	0	-.9030865	
496658	411	0	6.632084	64	0	.5028756	
411691	415	0	7.216029	62	0	-1.123908	
567082	419	0	6.687427	63	0	.1354502	
510018	434	0	7.27456	63	0	.0853124	
499015	444	0	6.73498	64	0	1.090753	
413645	447	0	6.987733	62	0	-.8642864	
499015	449	0	7.023444	64	0	-.5259899	
126518	470	0	6.78947	62	0	-1.503695	
551636	477	0	6.701761	63	0	-.843784	
551636	479	0	6.799636	63	0	.2613505	
493873	485	0	7.327626	63	0	-.2749391	
493873	487	0	6.063785	63	0	.0602277	
553418	490	0	7.476164	64	0	.7372268	
